Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Continent,Population
United Arab Emirates,160.4,92.2,84.9,68.7,58.3,4.4,36.2,49.7,45.2,Asia,9441129
Croatia,159.2,47.5,75.9,64.1,48.9,13.9,26.9,31.2,89,Europe,3855641
France,156.7,85.4,47.6,80.2,74.1,9.9,35.2,42.4,89.7,Europe,67971311
Qatar,154.5,93.7,86.2,73.5,62.8,6.2,30.1,59.9,36,Asia,2695122
Ireland,154.5,82.3,54.5,52.3,76.1,6.5,37.9,34.8,89.1,Europe,5127170
Belgium,151.9,79.7,54.6,75.5,72.6,7.1,36.9,50.1,86,Europe,11685814
Singapore,151.6,91.3,72.4,71.1,84,17.5,41.2,33.3,57.5,Asia,5637022
Slovakia,151.2,54.7,69.8,60.3,44.7,11.2,28.2,39.1,78.1,Europe,5431752
Latvia,150.8,51.6,61.3,62.4,48.5,8.1,31.2,32.7,74.7,Europe,1879383
Saudi Arabia,149.5,91.8,75.3,60.9,50.4,2.8,28.3,63.8,46,Asia,36408820
Cyprus,147.1,57.3,67.9,52,59,6.4,22.9,56.9,93.3,Europe,1251488
Israel,146.1,75.6,67.9,73.8,88.1,13.5,36.4,57.7,94,Asia,9557500
Italy,141.1,61.7,54.8,66.8,66.5,8.6,33.8,54.1,91.5,Europe,58940425
Taiwan,140.2,58.3,84.1,86.4,62.4,21.8,31.7,64.7,81.6,Asia,23420111
Poland,140,60,70.2,57.8,39,11.2,31.8,54.7,76,Europe,36821749
Hungary,137.1,52,65.7,53.4,40.7,10.9,35.5,47.9,80.3,Europe,9643048
South Africa,136,78.4,23.9,64,42.1,3.1,39.3,56.6,95.3,Africa,59893885
Puerto Rico,133.8,72.8,37.8,57.7,66.5,4,34.2,50,71.2,North America,3220113
Romania,133.4,48.1,71.2,56.2,35.2,10.4,33.6,58.6,77.6,Europe,19047009
Bulgaria,130.1,46,61.3,56.4,38.4,7.7,29.4,64.3,82.8,Europe,6465097
Greece,129.2,39.7,52.6,57.3,56.2,10.1,33.8,51.9,94.2,Europe,10426919
Bosnia And Herzegovina,127.1,44.1,57.8,54.3,36.1,10.8,26,60.9,80.5,Europe,3233526
South Korea,125,76.9,73.5,82.7,73.2,29.4,40,62.4,68.4,Asia,51672569
Mexico,124.9,38.6,46.3,72.8,35.3,8.7,39.3,58.5,84,North America,127504125
Turkey,124.1,32.9,60.3,70.8,28.3,10.3,44.2,65.5,93.8,Asia,84979913
Uruguay,122.3,30.1,48.6,68.4,52.1,20.1,37.3,45.2,98,South America,3422794
Costa Rica,122.1,39.9,46.1,62.7,47,10.6,60.2,44.7,99.5,North America,5180829
Georgia,121.1,31.1,75.7,54.2,30.2,12,35.4,69.3,84.2,Europe,3712502
Ecuador,118.8,31.8,42.8,69.3,37.3,12.5,38.9,58.2,94.5,South America,18001000
Malaysia,118,55.3,44.3,70.1,37,9.8,37.2,62.1,57.5,Asia,33938221
Kuwait,117.3,78.6,66.6,59.4,48.7,12.3,33.3,66.1,20.2,Asia,4268873
Serbia,117.2,37.8,61.7,52.5,36.2,16.5,30.8,62.9,83.2,Europe,6664449
Tunisia,114.6,27.8,55.7,56.5,27.9,11.7,32.7,70.8,93.2,Africa,12356117
Panama,114.3,33.1,56.1,61.1,51.4,11.2,37.1,58.7,67.8,North America,4408581
Jordan,113.9,31.3,59.8,65.6,49.2,8,41.2,76.3,89,Asia,11285869
Ukraine,111.9,37.2,53.1,54.3,30.7,10.9,37.7,62.9,70.7,Europe,38000000
India,111,49.7,55.4,65.7,24.4,10.2,46.5,73.1,65.1,Asia,1417173173
North Macedonia,109.6,35.4,59.1,55.8,31.4,12.5,26.3,79.7,76.3,Europe,1831712
Malta,109.5,44.2,59.2,45.6,67.8,13.1,29.1,81,97.4,Europe,531113
Belarus,108.5,31.8,41.6,45.6,30.9,16.7,30.2,44.8,64.4,Europe,9228071
Morocco,107.5,34.4,50.9,46.7,33.8,12.6,36.3,69.3,90,Africa,37457971
Brazil,107,27.8,33,57.8,33.2,16.3,41.3,53.8,97.2,South America,215313498
Argentina,105.4,30.7,35.9,69.3,34.7,26,43.3,51.2,98.3,South America,46234830
China,105.1,60,70.6,66.4,41.8,29,40,80.6,78.4,Asia,1412175000
Azerbaijan,104.1,27.3,67.7,44.8,29.7,16.8,39.6,74.3,91.4,Europe,10141756
Colombia,103.5,28.9,42.3,67.2,26.7,16.9,47.8,63,88.3,South America,51874024
Russia,103.3,37.4,60.4,59.1,35.3,14.8,44.5,61.8,48.9,Europe,144236933
Pakistan,102.6,26.6,58,59.6,19.9,14.3,37.8,73.7,70.4,Asia,235824862
Thailand,101,31.6,60.7,77.6,43.2,21.7,39.6,75.5,69.4,Asia,71697030
Chile,100.1,33.3,46,64,43.9,17.2,35.8,78.5,90.2,South America,19603733
Lebanon,99.3,35.1,53.1,62.7,69.6,12.2,38.5,89.3,94.7,Asia,5489739
Hong Kong,98.4,65.7,78.1,66.3,80.7,46.9,42.6,67.6,83.6,Asia,7346100
Kazakhstan,93.8,32.2,46.6,60,28.7,10.5,34.7,73.4,39.8,Asia,19634983
Kenya,92.5,32.2,43.8,63.4,33.9,24.2,54,69.3,99.8,Africa,54027487
Indonesia,90.4,21.1,53.9,60.4,35.9,21.9,43.5,67.2,68.5,Asia,275501339
Vietnam,90,29.4,54.2,58.9,37.5,20.5,29.8,85.5,71.2,Asia,98186856
Egypt,89.9,21.5,53.4,47,29.5,12,48.4,83.6,92,Africa,110990103
Philippines,83.7,21.5,57.7,67.5,37.1,29.6,43.1,73.4,69.3,Asia,115559009
Peru,80.4,28.2,32.9,56.2,32.5,19.5,48.8,82.9,97.7,South America,34049588
Venezuela,77.4,15.4,16.4,39.3,43.2,14.4,34.1,75.4,99.9,South America,28301696
Sri Lanka,67.9,19.3,58.8,72.1,31.3,46,57.1,60.2,59.1,Asia,22181000
Bangladesh,67.6,25.3,36.6,42.3,33.1,13.5,55.9,85,71.3,Asia,171186372
Iran,64.9,18,50.9,52.3,37.4,33,47.1,75.4,65.7,Asia,88550570
Nigeria,52.4,9.3,36.2,48.5,30.5,16.1,62,88.3,60.8,Africa,218541212
